incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC001115,Assault,South,Maplewood,Ga,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342,SUS00281,Barbara,Thomas,51.0,Male,Asian,VIC00642,Robert,Torres,51.0,Unknown,6223265920,Firearm,Medium,Open,No Arrest,2.0,23759.76,True,Incident at 2830 Cedar Lane. Officer responded at scene.
INC004706,Burglary,Southeast,Maplewood,Oh,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133,SUS00376,Barbara,Harris,-0.5,Other,Black,VIC00262,John,Martin,127.5,Unknown,241-973-4826,Firearm,High,Unknown,Unknown,2.0,44839.49,yes,Incident at 2361 Park Rd. Officer responded at scene.
INC002249,Homicide,Southwest,Lakewood,Az,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781,SUS00560,Richard,Scott,19.0,Female,Asian,VIC00518,Richard,Hill,29.0,Other,244-584-7696,Knife,Low,Closed,Warning,2.0,15963.38,YES,Incident at 1067 Main St. Officer responded at scene.
INC000021,Property Damage,Central,Springfield,Az,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097,SUS00468,Michael,Thomas,91.5,Male,Black,VIC00243,Susan,Young,127.5,Unknown,5021227484,Hands,Low,Resolved,Unknown,5.0,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.
INC000488,Domestic Violence,North,Lakewood,Pa,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220,SUS00751,Thomas,Jackson,75.0,Female,White,VIC00512,Thomas,Thomas,51.0,Male,9698766873,Unarmed,Medium,Closed,Warning Issued,2.0,23513.01,YES,No Notes
INC001727,Robbery,Southeast,Maplewood,Tx,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747,SUS00623,Carol,Harris,58.0,Female,Unknown,VIC00429,Mary,Walker,72.0,Female,431-579-6170,Blunt Object,Unknown,Closed,Warning,3.0,23759.76,YES,Incident at 7394 Cedar Lane. Officer responded at scene.
INC003981,Manslaughter,Midtown,Centerville,Il,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869,SUS00533,Jennifer,Taylor,73.0,Male,White,VIC00904,David,Torres,49.0,Female,587-505-1798,Unknown,Low,Open,No Arrest,2.0,19075.36,no,Incident at 1610 River Rd. Officer responded at scene.
INC001205,Breaking & Entering,East,Centerville,Oh,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229,SUS00320,Robert,Hill,26.0,Male,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,Hands,Critical,Under Investigation,Warning,0.0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.
INC000972,Homicide,Northeast,Riverside,Il,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242,Not Provided,Not Provided,Not Provided,46.0,Unknown,Unknown,VIC00859,Michelle,Hill,10.0,Unknown,376-440-3132,Rifle,Medium,Investgation,Unknown,5.0,35339.52,Unknown,No Notes
INC002898,Property Damage,Central,Oakdale,Ny,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,OFF0035,John,Jones,9036,SUS00005,Ashley,Harris,49.0,Female,Black,VIC00682,Mark,Young,47.0,Unknown,596-444-9767,Unknown,High,Under Investigation,Unknown,0.0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.
